z xi(0) xi(1) xi(2) xi(3) xi(4) xi(5) xi(6) xi(7) xi(8) xi(9) xi(10)
2.1746 0.0814186 0.0301463 0.00916186 0.0043493 0.00222153 0.00143731 0.0010224 0.000714504 0.000936894 0.00114038 0.0016306
2.1783 0.0811989 0.0300505 0.00898752 0.00427183 0.00258848 0.00172757 0.00126836 0.000925986 0.00126726 0.00127926 0.00209992
2.182 0.0809033 0.0304581 0.0092771 0.0048622 0.00287372 0.00167379 0.00144978 0.0011332 0.00104344 0.00115344 0.00201634
2.1857 0.0812552 0.0300992 0.00911711 0.00458285 0.00270591 0.00207753 0.000880029 0.000431474 0.000979295 0.00182978 0.00230357
2.1894 0.0799592 0.0297293 0.00902478 0.00428016 0.00263843 0.00151028 0.00086707 0.000958175 0.000793327 0.00105486 0.00181599
2.1931 0.0816859 0.0309434 0.00938112 0.00479608 0.00281514 0.0016212 0.00120347 0.00126606 0.00116505 0.00130878 0.00202685
2.1968 0.0815105 0.0314559 0.00988231 0.00489456 0.00290204 0.00211487 0.00115972 0.00131504 0.00139385 0.00149854 0.00230399
2.2005 0.0817368 0.0309479 0.00961357 0.00498016 0.00316674 0.00209771 0.00162552 0.00137342 0.00108667 0.00121889 0.00197161
2.2042 0.0804361 0.0307375 0.00959625 0.00512475 0.00291021 0.00227675 0.00175886 0.00141963 0.00152827 0.00154671 0.00244971
2.2079 0.080782 0.0301199 0.00920744 0.00515196 0.00302136 0.00137688 0.000956962 0.000578012 0.00070906 0.000993846 0.00214211
2.2116 0.0833026 0.0304375 0.0094869 0.00482435 0.00270311 0.00145259 0.00114351 0.00115848 0.00164738 0.00165828 0.00238852
2.2153 0.0831632 0.0306753 0.00924382 0.00505127 0.00307447 0.00194647 0.00152149 0.00112495 0.00162456 0.00194358 0.00285071
2.219 0.0838675 0.0309576 0.00946943 0.00528122 0.0034779 0.00265217 0.00151751 0.00108381 0.00127747 0.00169098 0.00265642
2.2227 0.0826474 0.0321671 0.0103316 0.00576385 0.00373516 0.00243959 0.00164144 0.00139197 0.00140961 0.00171353 0.00254891
2.2264 0.0819711 0.0319698 0.0094592 0.00523932 0.00352136 0.00190831 0.00147019 0.00148956 0.00211161 0.0018066 0.0025486
2.2301 0.0809994 0.0316501 0.0100281 0.00573542 0.00345543 0.00226503 0.0018614 0.00127009 0.00123789 0.00199719 0.00259729
2.2338 0.082856 0.0311898 0.00983676 0.00543081 0.00387978 0.00296148 0.00173418 0.00147137 0.00125339 0.00140652 0.00235045
2.2375 0.0812861 0.0322155 0.0106178 0.00573883 0.00339614 0.00208653 0.00188444 0.00131737 0.00196905 0.00246018 0.00265709
2.2412 0.0811274 0.0304483 0.00965628 0.00558764 0.00327821 0.00216831 0.00123202 0.00140519 0.001311 0.00200475 0.00280851
2.2449 0.0823549 0.0315184 0.00997592 0.00525945 0.00318626 0.0021119 0.00150999 0.0014097 0.0014675 0.00167921 0.00255268
2.2486 0.0829893 0.0319224 0.0104004 0.00516905 0.00268495 0.00183336 0.00100482 0.00099213 0.00136775 0.0015403 0.00209554
2.2523 0.0820635 0.032134 0.00998895 0.00491089 0.00302753 0.0015245 0.00139783 0.00146845 0.00157806 0.00171826 0.00238315
2.256 0.0822254 0.0324317 0.0102977 0.00501885 0.00364554 0.00228248 0.00168195 0.00112535 0.00145865 0.00174792 0.0021482
2.2597 0.0823042 0.0331921 0.0101249 0.00544372 0.00367686 0.00250893 0.0018685 0.00164604 0.00130525 0.00199012 0.00292995
2.2634 0.0827621 0.0332332 0.0105736 0.00574728 0.00341085 0.00204097 0.0021094 0.00142177 0.00183165 0.00215022 0.00304402
2.2671 0.0812887 0.0321126 0.0102087 0.00526848 0.00292056 0.00226227 0.0020132 0.00196963 0.00154395 0.001894 0.00279769
2.2708 0.0815194 0.0315838 0.00968598 0.00524705 0.00370157 0.00232952 0.0016636 0.00136606 0.00173665 0.00150922 0.00288283
2.2745 0.0834085 0.0328808 0.010157 0.00540183 0.00354854 0.00265934 0.00243361 0.00197255 0.00163855 0.00167414 0.00256296
2.2782 0.0829178 0.0325805 0.0102153 0.0055884 0.00378509 0.00259504 0.00181845 0.00170679 0.00144732 0.00171279 0.00253452
2.2819 0.0835009 0.033264 0.0107022 0.00564321 0.00327605 0.0018946 0.00148639 0.00132597 0.00164127 0.00192398 0.00246521
2.2856 0.0845309 0.033121 0.010953 0.00582132 0.00398322 0.00230961 0.0014375 0.00127044 0.00134787 0.00196676 0.00286788
2.2893 0.0855569 0.0338267 0.0114127 0.00653445 0.00447761 0.00293898 0.00182704 0.00147361 0.00190797 0.00243607 0.00280743
2.293 0.0844809 0.0338094 0.0109176 0.00621521 0.00422525 0.00272059 0.00206125 0.0017832 0.00181676 0.00193893 0.00291969
2.2967 0.085764 0.0332043 0.0100398 0.00557003 0.00383968 0.00276999 0.00238014 0.00235659 0.0021016 0.00238849 0.00304906
2.3004 0.0852095 0.0329131 0.0106466 0.00606313 0.00384396 0.00241123 0.00210151 0.00179131 0.00206672 0.00240918 0.00350585
2.3041 0.0858593 0.0339395 0.0108577 0.00609277 0.0038732 0.00231207 0.0019023 0.0020524 0.00197368 0.0020344 0.00317328
2.3078 0.0866025 0.0338758 0.0110629 0.00569329 0.00350367 0.00309172 0.00289172 0.00213223 0.00170366 0.00235183 0.00326157
2.3115 0.08683 0.0346252 0.0114022 0.00602358 0.00432932 0.00322856 0.00246861 0.00246246 0.0018271 0.00216237 0.00289627
2.3152 0.0862294 0.0346809 0.0113869 0.0059208 0.00382028 0.00272079 0.00226099 0.00170198 0.00176995 0.00205564 0.00299619
2.3189 0.086375 0.0343846 0.011469 0.00608826 0.00396356 0.00258567 0.00156833 0.00166219 0.0020087 0.00212591 0.00290291
2.3226 0.0853162 0.0340255 0.0111031 0.00562323 0.00362824 0.00259829 0.00217286 0.00186008 0.00179673 0.00215072 0.00310339
2.3263 0.0885512 0.0327163 0.011253 0.00628298 0.00440163 0.00276777 0.00192612 0.00231998 0.0019713 0.00215632 0.00297931
2.33 0.0886502 0.0344846 0.0108387 0.00608177 0.00418611 0.00296981 0.00184491 0.00177432 0.00182147 0.00217248 0.00283004
2.3337 0.0855675 0.0345251 0.0112062 0.00613363 0.00389905 0.00234788 0.00224103 0.00261361 0.0023115 0.00219261 0.00299243
2.3374 0.0854447 0.0342748 0.0109423 0.00640446 0.0040333 0.00289215 0.00219167 0.00194315 0.00191821 0.00238119 0.00357666
2.3411 0.0854545 0.0339744 0.0112319 0.0064022 0.00439781 0.00300242 0.00203894 0.00222205 0.00278253 0.00279194 0.0032694
2.3448 0.0865869 0.034152 0.0106876 0.00622827 0.00428866 0.00277612 0.0017718 0.00178314 0.00166044 0.00237724 0.0032551
2.3485 0.0848002 0.0336791 0.0105572 0.00604159 0.0044552 0.00366612 0.00235506 0.00177392 0.00154325 0.00209788 0.003462
2.3522 0.0879215 0.034907 0.0115531 0.00634055 0.00408574 0.0025694 0.0024571 0.00230498 0.0025197 0.00243073 0.00336197
2.3559 0.0885504 0.0355276 0.0122132 0.006497 0.0039234 0.00282802 0.0021295 0.00248556 0.00268799 0.00267132 0.00278201
2.3596 0.0871441 0.0348089 0.0111998 0.00656773 0.00469884 0.00404109 0.00294019 0.00217237 0.00206548 0.00259811 0.00305439
2.3633 0.0866867 0.035378 0.0117129 0.00626878 0.00426632 0.00323722 0.00274421 0.0018601 0.00138977 0.00138221 0.00284692
2.367 0.086849 0.0353603 0.0118014 0.00627703 0.00430662 0.00263217 0.00193039 0.00130198 0.00157165 0.00237691 0.00311043
2.3707 0.0869777 0.035213 0.0112314 0.00644269 0.0045559 0.0029288 0.00241549 0.00176902 0.00190134 0.00253145 0.00320758
2.3744 0.0864164 0.0360905 0.0115869 0.00651986 0.00491029 0.00287009 0.00206222 0.00163128 0.00148696 0.00212323 0.00335169
2.3781 0.0862883 0.0354891 0.0119636 0.0065104 0.00427742 0.00328028 0.00209178 0.00222877 0.00188533 0.00244829 0.00352649
2.3818 0.0867232 0.0359475 0.0125692 0.00687639 0.00442532 0.00305439 0.00253293 0.00201937 0.00246663 0.00212957 0.00281727
2.3855 0.0867555 0.0354544 0.0120224 0.00661626 0.00393393 0.00297017 0.0029416 0.0028048 0.00232734 0.00165213 0.00300507
2.3892 0.0867639 0.0356997 0.0116179 0.00636711 0.0045657 0.0032992 0.00280178 0.00251551 0.0029035 0.00277516 0.00350754
2.3929 0.088515 0.0366484 0.0118739 0.00658902 0.00440622 0.00336025 0.00245589 0.00223768 0.00186052 0.00197427 0.00309058
2.3966 0.0892609 0.0369357 0.0123235 0.00650315 0.00422763 0.00337005 0.00256712 0.00214948 0.00196491 0.00268317 0.00262181
2.4003 0.0894465 0.0366375 0.0121437 0.00692794 0.00460809 0.00325998 0.00243129 0.0018937 0.0016233 0.00236755 0.003932
2.404 0.090607 0.037346 0.0119909 0.00646573 0.0044452 0.00262264 0.00169329 0.00132679 0.00138093 0.00146323 0.00281688
2.4077 0.0890815 0.0372757 0.0119641 0.00648196 0.00404029 0.00302482 0.00240232 0.00239855 0.00239147 0.00259486 0.00362202
2.4114 0.0894087 0.0374079 0.0122134 0.00668727 0.00440679 0.0030564 0.00242594 0.00169791 0.00191091 0.00202836 0.00274335
2.4151 0.0896019 0.037094 0.0124544 0.00737257 0.00501834 0.00313242 0.00300692 0.00222299 0.00230234 0.00241587 0.00369952
2.4188 0.0893807 0.0364784 0.0119454 0.00668587 0.00410853 0.00289668 0.00251222 0.00254019 0.00221912 0.0018085 0.00312
2.4225 0.0905627 0.037714 0.0124217 0.00689263 0.0045714 0.00345977 0.00243906 0.00173509 0.00178 0.0024547 0.00332078
2.4262 0.0917316 0.0371093 0.011719 0.00641349 0.00482066 0.00391707 0.00327478 0.00270525 0.0025605 0.00225172 0.00337743
2.4299 0.0912778 0.0376502 0.0123101 0.00654996 0.00463306 0.00309156 0.00234122 0.00184842 0.00182492 0.0019512 0.00369191
2.4336 0.0904687 0.0372847 0.0125486 0.00670244 0.00437687 0.00318009 0.00233616 0.00174353 0.00235837 0.00264842 0.00419365
2.4373 0.0902144 0.0363464 0.0120872 0.00713372 0.00468525 0.00304019 0.00194608 0.00151552 0.00183763 0.00246066 0.00329024
2.441 0.0893859 0.0371807 0.0121827 0.00695378 0.00434795 0.00293931 0.00236469 0.00176324 0.00216128 0.00214915 0.00303445
2.4447 0.0905917 0.038266 0.0127278 0.00727068 0.00445122 0.0025004 0.00208886 0.00172299 0.00205451 0.00216337 0.00347329
